domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
trade.gov,65514,155405,46469,2.3720884085844247,136.9180785786244,66276
business.usa.gov,64752,227013,52563,3.5058839881393626,113.29404497158389,65514
cfda.gov,64752,319951,37328,4.941175562144799,419.8232795898196,64752
data.gov,64752,142454,50278,2.1999938225846307,49.30585927847788,64752
onboarding.usastaffing.gov,64752,972041,23615,15.011752532740301,644.2231436866815,64752
au.usembassy.gov,63990,163023,47993,2.5476324425691512,216.1791529926551,61705
efast.dol.gov,63990,88367,31233,1.380950148460697,108.80981403344272,69323
datawarehouse.hrsa.gov,62467,890530,36566,14.256007171786703,559.9110250212112,61705
mentalhealth.gov,62467,109697,57896,1.7560792098227864,85.06043190804745,62467
missionscience.nasa.gov,62467,140931,46469,2.256087214049018,278.0835801303088,61705
nspires.nasaprs.com,62467,795306,25139,12.731618294459475,425.07043719083674,62467
aawu.arh.noaa.gov,61705,291765,22092,4.728385057936958,162.6414715177052,61705
everykidinapark.gov,61705,296335,47993,4.802447127461308,109.7280609350944,61705
mars.jpl.nasa.gov,61705,1723926,63990,27.938189773924318,147.76497852686168,67037
cnpp.usda.gov,60943,119601,56372,1.9625059481810871,56.462514152568794,58658
gravelocator.cem.va.gov,60943,335948,47993,5.512495282477069,242.27509311980046,60181
centraltexas.va.gov,59419,93700,15236,1.5769366700886922,170.55256736060855,57896
era.nih.gov,59419,159975,38851,2.692320638179707,206.93746108147226,60943
m.waterdata.usgs.gov,59419,66276,23615,1.1154007977246336,68.68000134637069,57134
rma.usda.gov,59419,147787,17521,2.4872010636328445,212.23236675137582,60943
wdr.doleta.gov,59419,111221,30472,1.8718086807250207,349.24621753984417,55611
educationusa.state.gov,58658,125695,55611,2.142844965733574,208.34943230249922,57134
effectivehealthcare.ahrq.gov,58658,92176,57134,1.5714139588802891,68.4021957789219,59419
pmm.nasa.gov,58658,108936,54849,1.8571379862934296,148.2978451362133,58658
eca.state.gov,57896,221680,57896,3.828934641426005,291.7888282437474,55611
blogs.nasa.gov,57134,94462,57134,1.653341267896524,121.82684566107747,60181
cpars.cpars.gov,57134,1302657,25139,22.800031504883258,988.4014422235447,57134
fitness.gov,57134,71608,51802,1.2533342668113558,29.106714040676305,57134
google2.fda.gov,57134,1594422,337472,27.90671054013372,384.77389995449295,195779
alumni.state.gov,56372,294050,41137,5.216242106010076,362.58298446037037,57134
cl.usembassy.gov,56372,137884,40375,2.4459660824522813,216.69032498403462,55611
comptroller.defense.gov,56372,85320,26663,1.5135173490385299,180.05499183992052,55611
dbcalc.usps.com,56372,208730,59419,3.7027247569715462,125.74389767969915,48754
occ.treas.gov,56372,119601,45707,2.1216384020435677,122.78443198751152,56372
pbm.va.gov,56372,173688,49516,3.0811040942311787,162.85221386503937,60181
americanenglish.state.gov,54849,224727,55611,4.097194114751408,170.87412714908203,53325
iaspub.epa.gov,54849,235392,57134,4.291637039873106,177.01298109354775,59419
sa.usembassy.gov,54849,130266,31995,2.3749931630476397,193.23511823369614,53325
bia.gov,54087,176735,42660,3.2676058942074806,270.87290846229223,54087
csa.fmcsa.dot.gov,53325,380894,34280,7.142878574777309,319.5865729020159,47231
glovis.usgs.gov,53325,126457,27424,2.3714392873886543,313.1437037037037,54087
za.usembassy.gov,53325,188923,39613,3.5428598218471636,217.35773089545242,55611
armycivilianservice.usajobs.gov,52563,291003,19806,5.536270760801324,193.59551395468296,52563
atlanta.va.gov,52563,73132,39613,1.3913208911211308,84.2324639004623,56372
cpars.gov,52563,86082,32757,1.6376919125620684,199.27671556037518,52563
eclipse.gsfc.nasa.gov,52563,83797,49516,1.5942202690105207,67.50769552727203,51802
fra.dot.gov,52563,138645,36566,2.6376919125620684,210.33476019253087,53325
g5.gov,52563,160737,20568,3.0579875577877975,319.94420029298175,52563
jo.usembassy.gov,52563,148549,28186,2.8261134257938094,190.33462701900575,52563
ngmdb.usgs.gov,52563,115030,16759,2.188421513231741,161.50834237010824,51040
drought.gov,51802,74655,48754,1.4411605729508514,40.85259256399367,51802
hru.gov,51802,337472,38089,6.514651943940389,505.9075518319756,51802
dodig.mil,51040,57134,8380,1.119396551724138,82.64143808777429,51040
drivethru.gsa.gov,51040,809780,11427,15.865595611285267,1112.771355799373,51802
id.usembassy.gov,51040,154643,30472,3.02983934169279,234.34228056426332,50278
nauticalcharts.noaa.gov,51040,323760,41137,6.343260188087775,278.62566614420064,50278
abmc.gov,50278,330616,39613,6.575758781176658,342.6514777835236,50278
jwst.nasa.gov,50278,114268,37328,2.272723656470027,178.33330681411354,50278
obamalibrary.gov,49516,68561,45707,1.3846231521124486,24.600109055658777,49516
ojjdp.gov,49516,198827,40375,4.015409160675337,217.93937313191697,49516
yosemite.epa.gov,49516,190447,21330,3.846170934647387,195.75466515873657,51040
zh.usps.com,49516,92176,25901,1.8615397043379918,89.16960174489054,51802
foreignlaborcert.doleta.gov,48754,132551,38089,2.7187717930836444,258.09597161258563,47231
urs.earthdata.nasa.gov,48754,212539,23615,4.359416663248144,315.7058292652911,45707
oig.justice.gov,47993,92176,42660,1.9206134227908236,34.90448607088534,48754
bd.usembassy.gov,47231,91415,22092,1.9354872858927399,131.96730960597912,47231
jsc.nasa.gov,47231,63228,47231,1.3386970421968623,67.70944930236497,52563
usmarshals.gov,47231,61705,44184,1.306451271410726,41.56437509262984,47231
bhs.econ.census.gov,45707,69323,35804,1.5166823462489334,115.78401557748266,44184
dodcio.defense.gov,45707,60943,38851,1.3333406261622947,38.81689894326908,45707
nibib.nih.gov,45707,104365,37328,2.283348283632704,125.21740652416479,45707
ojp.gov,45707,88367,26663,1.9333362504649179,132.36744918721422,45707
caweb.sba.gov,44945,148549,12189,3.3051284903771276,198.12074758037602,44945
nvsearch.nv.gov,44945,78464,38089,1.7457781733229503,76.56012904661253,44945
save.uscis.gov,44945,300144,20568,6.678028701746579,254.27389031037936,39613
toolkit.climate.gov,44945,91415,34280,2.0339303593280675,152.17112025809323,44184
autoauctions.gsa.gov,44184,303192,32757,6.862031504617056,234.49837045084195,46469
minerals.usgs.gov,44184,150834,31995,3.41376969038566,326.06669835234476,44184
moneyfactorystore.gov,44184,174449,35042,3.9482391816042006,157.36096777113886,44184
nwrfc.noaa.gov,44184,53325,15236,1.20688484519283,48.7065453557849,44184
search.kingcounty.gov,44184,68561,28186,1.5517155531414086,59.96510048886475,44184
crimesolutions.gov,43422,125695,31233,2.894730781631431,248.42050112846022,43422
mobile.arc.nasa.gov,43422,79988,35804,1.8421076873474276,102.82432868131362,43422
volunteer.gov,43422,265864,26663,6.122794896596195,487.1568099120262,43422
reginfo.gov,42660,96747,31233,2.267862165963432,130.26821378340367,42660
fsd.gov,41898,291765,34280,6.963697551195761,223.69265836078094,41898
ngs.noaa.gov,41898,153881,31233,3.672752876032269,425.1487899183732,41898
sep.va.gov,41898,54849,3809,1.309107833309466,225.27449997613252,38851
consumer.gov,41137,79226,38851,1.925906118579381,69.27700123975983,41137
gsafsd.service-now.com,41137,444884,13712,10.814692369399811,584.5860660719061,41137
hn.usembassy.gov,41137,87606,28948,2.129615674453655,134.1651554561587,40375
northtexas.va.gov,41137,73893,25901,1.7962661351095122,106.18399494372463,41137
research.va.gov,41137,143978,28948,3.4999635364756787,269.92291610958506,39613
salisbury.va.gov,41137,64752,12950,1.5740574178962978,127.73931011011985,38089
